title,release_date,vote_average,vote_count,overview,original_language,popularity
Straw,2023-10-31,10.0,1,"A date on Samhain leads to an abode of true crime, death, and the mildewed scent of carnage.",en,0.067
Die Geschichte der ZZCCMXTP,2023-05-14,10.0,1,,de,0.1439
Autemials - Concert for EC Foreign Languages Festival 2023,2023-05-26,10.0,2,"Autemials performed at the Foreign Languages Festival organized annually by Evrensel College in 2023. During the concert, the group played covers of the songs ""Losing My Religion"" and ""Paint It, Black"".",en,0.2652
Autemials - Concert for EC YASD Festival 2023,2023-05-19,10.0,2,"Autemials performed at the Youth and Sports Day Festival organized annually by Evrensel College in 2023. During the concert, the band played covers of various songs.",en,0.2428
Permian Dawn,2023-12-30,10.0,1,"The sun rises over a lone Dimetrodon as we follow it through the landscape of the middle Permian. Included are Diplocaulus, Titanoptera, a speculative proto-archosauromorph, a Xenacanthid shark, and Prionosuchus.",en,0.0071
Curious Raptor,2023-07-26,10.0,1,"A curious Pyroraptor spots a cycad seed on the forest floor, and is absolutely tickled pink by it for some reason.",en,0.0071
Playing Pterosaurs,2023-05-25,10.0,1,Two pterodactyloid pterosaurs (maybe Mimodactylus) play along a forested clifftop during the late Cretaceous.,en,0.0143
Spinosaurus Fishing,2023-03-04,10.0,1,Spinosaurus aegyptacus goes fishing in a late-Cretaceous river.,en,0.0071
Natovenator polydontus,2023-01-16,10.0,1,"Short opentoonz animation of the recently discovered, semi-aquatic dromaeosaur Natovenator polydontus.",en,0.0143
Cretaceous Characters - Quetzalcoatlus meets a young Triceratops,2023-01-02,10.0,1,"Just a short animation of a large azdarchid (perhaps Quetzalcoatlus) and a juvenile Triceratops. All sound design homemade, by me! Just for a bit of fun.",en,0.0
HIGH ROLLER - Episode 2,2023-07-03,10.0,1,,es,0.0168
Tricotilomanía: Una historia de identidad,2023-09-19,10.0,1,"Angella develops a rare psychological disorder called trichotillomania, until, through alternative therapy, she discovers that the cause of her problem is directly related to her relationship with her father.",en,0.0168
How to survive the winter,2023-11-23,10.0,1,"Deok-nam and Ji-young, now twenty, suddenly find themselves out of foster care, leaving the orphanage. All they have is a mere 5 million won and a carrier. And the winter is bitterly cold and they're hungry. Can these two work together to face the world head-on?",en,0.0322
Angry Language,2023-12-13,10.0,1,An argument between two people about colors turns serious.,en,0.0
American Dreams,2023-12-08,10.0,1,Expiremental documentary about realizing the difference between what you want to do and what you can do.,en,0.0193
Hainline in Heaven,2023-05-09,10.0,1,Ryan Hainline attempts to do an ollie.,en,0.0143
Freedom of What,2023-05-08,10.0,1,Essay film about the relationship between the idea of freedom and what we actually have.,en,0.0
