adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,,[],1576118,en,Straw,"A date on Samhain leads to an abode of true crime, death, and the mildewed scent of carnage.",0.067,/eGdKIvgoI3c5ctuJINIuiwPdZU0.jpg,2023-10-31,Straw,False,10.0,1
False,,"[99, 35]",1575916,de,Die Geschichte der ZZCCMXTP,,0.1439,/uPVoMslg7DV2PMUL7vNUwQi88wo.jpg,2023-05-14,Die Geschichte der ZZCCMXTP,False,10.0,1
False,,[10402],1575488,en,Autemials - Concert for EC Foreign Languages Festival 2023,"Autemials performed at the Foreign Languages Festival organized annually by Evrensel College in 2023. During the concert, the group played covers of the songs ""Losing My Religion"" and ""Paint It, Black"".",0.2652,/ppIOgG04stFo00A2jJGNMREgZ60.jpg,2023-05-26,Autemials - Concert for EC Foreign Languages Festival 2023,False,10.0,2
False,,[10402],1575480,en,Autemials - Concert for EC YASD Festival 2023,"Autemials performed at the Youth and Sports Day Festival organized annually by Evrensel College in 2023. During the concert, the band played covers of various songs.",0.2428,/8KFHmCcYYxwqSdlEaaJe6RzdxNZ.jpg,2023-05-19,Autemials - Concert for EC YASD Festival 2023,False,10.0,2
False,,[],1573739,en,Permian Dawn,"The sun rises over a lone Dimetrodon as we follow it through the landscape of the middle Permian. Included are Diplocaulus, Titanoptera, a speculative proto-archosauromorph, a Xenacanthid shark, and Prionosuchus.",0.0071,,2023-12-30,Permian Dawn,False,10.0,1
False,,[],1573735,en,Curious Raptor,"A curious Pyroraptor spots a cycad seed on the forest floor, and is absolutely tickled pink by it for some reason.",0.0071,,2023-07-26,Curious Raptor,False,10.0,1
False,,[16],1573733,en,Playing Pterosaurs,Two pterodactyloid pterosaurs (maybe Mimodactylus) play along a forested clifftop during the late Cretaceous.,0.0143,,2023-05-25,Playing Pterosaurs,False,10.0,1
False,,[16],1573725,en,Spinosaurus Fishing,Spinosaurus aegyptacus goes fishing in a late-Cretaceous river.,0.0071,,2023-03-04,Spinosaurus Fishing,False,10.0,1
False,,[],1573722,en,Natovenator polydontus,"Short opentoonz animation of the recently discovered, semi-aquatic dromaeosaur Natovenator polydontus.",0.0143,,2023-01-16,Natovenator polydontus,False,10.0,1
False,,[16],1573718,en,Cretaceous Characters - Quetzalcoatlus meets a young Triceratops,"Just a short animation of a large azdarchid (perhaps Quetzalcoatlus) and a juvenile Triceratops. All sound design homemade, by me! Just for a bit of fun.",0.0,,2023-01-02,Cretaceous Characters - Quetzalcoatlus meets a young Triceratops,False,10.0,1
False,,[28],1573062,es,HIGH ROLLER - Episode 2,,0.0168,/tV5oDlddUDRojC9Jf1SYUg2cT26.jpg,2023-07-03,HIGH ROLLER - Episode 2,False,10.0,1
False,,[99],1571392,en,Tricotilomanía: Una historia de identidad,"Angella develops a rare psychological disorder called trichotillomania, until, through alternative therapy, she discovers that the cause of her problem is directly related to her relationship with her father.",0.0168,/11WytmG2bRZvP62hyXxM2FYSUZw.jpg,2023-09-19,Tricotilomanía: Una historia de identidad,False,10.0,1
False,/9vOJLSkyNuwfAMleVkNwW2MHCkt.jpg,[18],1569878,en,36.5도의 겨울,"Deok-nam and Ji-young, now twenty, suddenly find themselves out of foster care, leaving the orphanage. All they have is a mere 5 million won and a carrier. And the winter is bitterly cold and they're hungry. Can these two work together to face the world head-on?",0.0322,/uGXuqigL40sWVF5WP8UCpsqTiCJ.jpg,2023-11-23,How to survive the winter,False,10.0,1
False,/zPqBDx6iRxOpFhWjjrxaAxoLZbK.jpg,"[18, 35]",1568823,en,Angry Language,An argument between two people about colors turns serious.,0.0,/mx0Q3MXGFiYnOfXCBWnmKiNg7Ec.jpg,2023-12-13,Angry Language,False,10.0,1
False,/9CHkhYQfJKGQFFhdUgTiQ0v295A.jpg,[99],1568816,en,American Dreams,Expiremental documentary about realizing the difference between what you want to do and what you can do.,0.0193,/dszoKqWOApcotEapRE9sPyIegjU.jpg,2023-12-08,American Dreams,False,10.0,1
False,/zR83cjbvxS7eAUN1bU8Mh68ur4T.jpg,"[10402, 99]",1568812,en,Hainline in Heaven,Ryan Hainline attempts to do an ollie.,0.0143,/tKTH5P8dzF1FDnFjQ8frSKYguDa.jpg,2023-05-09,Hainline in Heaven,False,10.0,1
False,/3QIjqlGMygYkVHQ3mzWQC3729FN.jpg,[99],1568809,en,Freedom of What,Essay film about the relationship between the idea of freedom and what we actually have.,0.0,/gr86xDIym3387HSmSiNWBY53n1T.jpg,2023-05-08,Freedom of What,False,10.0,1
False,/aFuHgp2dKuKsyzMW9kdD5cnb112.jpg,[99],1568802,en,The Cowboy and the LIbrary in the Wake of Stressful Events,"Expiremental documentary depicting a ""cowboy"" monologuing about stress.",0.0214,/mcnKuearQveeisv25WMPCyRUb0L.jpg,2023-04-05,The Cowboy and the LIbrary in the Wake of Stressful Events,False,10.0,1
False,/mHU1590uCypCLeJXBchJDeiegO4.jpg,[99],1568795,en,Marlboro Country,Expiremental collage documentary consisting of juxtapositions between litter and the advertisements of those same products.,0.0,/n1ZsyzGx4UpyWK39lpR8aqGSa2k.jpg,2023-02-23,Marlboro Country,False,10.0,1
False,/fu83wftrwsJwD5XDdYqu180inEh.jpg,[10402],1568433,es,Kali Uchis: Live at Lollapalooza Brasil 2023,,0.0677,/yrRZRLwkSyi9eQKh53obUfON8zr.jpg,2023-03-25,Kali Uchis: Live at Lollapalooza Brasil 2023,False,10.0,1
False,/t8WbXZzVIA8qmjpgO0PTRjU7PK9.jpg,"[18, 35]",1567576,en,How Not to Deal with Grief,"A bunch of 20-something year old Gen-Zs gather at a funeral afterparty to pay respects to their school batchmate who has passed away, except the only problem is that none of them really know how to deal with grief.",0.0143,/lbS3nTPJsuS5VpreblcaZvnCM1L.jpg,2023-10-08,How Not to Deal with Grief,False,10.0,2
False,/ls92ZNJS4dHwoMFM9APonl1CDBs.jpg,[],1555088,pt,Bittersweet Memories: 14 Dias Isolados para Fazer um Álbum,,0.0621,/etk3v0H7wR3pUwVAE5WHtRGYLhr.jpg,2023-12-24,Bittersweet Memories: 14 Dias Isolados para Fazer um Álbum,False,10.0,1
False,,"[37, 35]",1554948,en,"The Good, the Bad, and the Bloodthirsty",An old-fashioned western town is thrown for a loop when a mysterious bounty hunter comes to town right as the townsfolk suspect a vampire is in their midst...,0.0143,/nUtU4o7Qx7GVBDw4U6AKP0DU7x1.jpg,2023-09-30,"The Good, the Bad, and the Bloodthirsty",False,10.0,1
False,/nlx2oAR8hxRO0XcIsNIxf1tyPZM.jpg,[10402],1554239,zh,洛天依11周年生日音乐会,,0.0896,/p9OPeMo4CleRufrEKjMZdl5C0nK.jpg,2023-07-12,洛天依11周年生日音乐会,False,10.0,1
False,/hvakPoish8WjmjTX3HTwXKGHDWi.jpg,[18],1550434,ar,ما يحدث في حياة نادين,"Nadine is a girl suffering from OCD, which makes her afraid of many things and makes her feel unsafe in her life.",0.0143,/k4oQk9z2vADaB4sxcok0iMRj5fG.jpg,2023-02-19,Internal Noise,False,10.0,1
False,/cdWjhryso462NPfRnwf1qmvlaJR.jpg,"[18, 10749]",1548074,fr,The thirteenth beat,,0.0168,/jQA9j8a08WEVMjuH3cENyxJD6r5.jpg,2023-02-10,The thirteenth beat,False,10.0,1
False,,"[18, 878]",1546090,es,Hola,,0.0693,/vkqElL20cryxot1iHK02GLxUK1U.jpg,2023-05-01,Hola,False,10.0,1
False,/A0NYz5SbQGFY2wCfSz8cAmLsKda.jpg,[99],1543726,fr,"Lulu, Ouvreur De Voies","Lucien Abbet, better known as Lulu, is a pioneer of sport climbing and route-breaking in Valais. Although considered one of the best climbers of his generation in the field, his humility and his way of life have never been able to fit with the codes of public notoriety. Money, recognition, material goods have never interested him. He has devoted his entire life to his passion, a happy vagabond, as he likes to say: climbing and traveling.",0.6838,/C7fSfGpfVTNqaS8lR9BkLptvxx.jpg,2023-11-03,"Lulu, Climbing Route Opener",False,10.0,1
False,/a86o64cwAWpVj3NH6yKElGeglZB.jpg,[18],1543670,en,Blind Mind,A young man tries to visualize his thoughts...,0.0795,/r1Ix5PGSMHWKsKQs5uqAnrdrlEr.jpg,2023-01-14,Blind Mind,False,10.0,1
False,/teuhGNVvDMG1fqrNi4725cp4eMs.jpg,[14],1543659,en,The Hammer,A man trying to lift up a hammer.,0.0701,/6mcjJDuvyfi8uuFF6jLiEfOMi4q.jpg,2023-01-22,The Hammer,False,10.0,1
False,,[],1543585,en,Amethyst at the Slayground,January 15th 2023 saw RuPaul's Drag Race Star Amethyst from Season 15 rock the Slayground.,0.0504,/uh3DOVIW9C4coszv2EhiUwpQkcO.jpg,2023-01-15,Amethyst at the Slayground,False,10.0,1
False,/9iJ9p6fRuwh3z5RskKBe9yunnQB.jpg,[10749],1542190,en,Kisses!,"Maia is in town for the summer staying with her aunt. She is just catching up with her posh posse from summers previous when they are rather rudely interrupted! Maia meets Jonah, whose skateboard proves dissatisfactory. Yet, the unlikely pair become inseparable with the help of a secret setup. A sweet love story sealed with a kiss!",0.0453,/yKyXUNTRNxgnn2M2bOlobOdkZQL.jpg,2023-05-19,Kisses!,False,10.0,1
False,,"[80, 27]",1541668,en,Sayulita Chrome,"A small time mugger stumbles into a government conspiracy to produce a drug that lets you see the future, at the cost of requiring the torture of a living human being.",0.0563,/4JbKbfyL0KCRQxMFQAX3TBVRSPj.jpg,2023-09-03,Sayulita Chrome,False,10.0,1
False,,"[80, 18, 28]",1541393,el,Το Τελευταίο Τσιγάρο 2 : Καταζητούμενος Ντετέκτιβ,,0.0,,2023-10-01,Το Τελευταίο Τσιγάρο 2 : Καταζητούμενος Ντετέκτιβ,False,10.0,1
False,/mOBfoem80Yq03rzcUg9ckvn1J1.jpg,[99],1539712,fr,Narco Business,,0.1229,/rEqb7MwrFbsSxPmxPY0Q5odp7QB.jpg,2023-12-10,Narco Business,False,10.0,1
False,/oxIf9yMOokUFNXiREmD7Dt6vjj0.jpg,"[18, 12, 35]",1538512,bn,Ghum,A short film made by three students who are trying to escape the reality.,0.0261,/c3au4UxDmCvQnVXSYxEels7tjE2.jpg,2023-09-17,Sleep,False,10.0,1
False,/bFngMkbBun9ZhVUg11yGSXE2V1X.jpg,[35],1535767,pt,Sacros Relatos Balneares,"""Welcome to another ""Relatos da Vida do Nosso País"". Today, we have with us Mr. João Ezequiel, who will tell us about some events in his life.""",0.0327,/udpval58g0j9rXrdmuiPPxBNIQw.jpg,2023-10-01,Sacred Bathing Stories,False,10.0,1
False,/4cypnz702rHynulnAus5wF02NNl.jpg,[35],1535759,pt,Linha de Apoio ao Suicídio,"This short sketch shows us what a day in the life of Teotónio, a suicide hotline operator, is like.",0.0239,/liyNoc9hlaRlvhdjGbDZ9gfAVcZ.jpg,2023-03-25,Suicide Helpline,False,10.0,1
False,/g344EnRTUKcUW1Vc9gyaOyrLhCp.jpg,[18],1534334,id,Dual Perspektif,"A man is sitting at a bar, chatting with a bartender. A young man comes in and sits next to him, shifting the conversation toward the newcomer. Their conversation flows smoothly until they reach a disagreement about politics, which sparks a debate between the two characters.",0.0071,/oy80OK4HnxWxUl7SNKweozpZO0q.jpg,2023-12-12,Dual Perspektif,False,10.0,1
False,,[18],1532617,en,The Fires,"Having lived illegally in Canada for the past eight years, Danny Gallagher returns to his family home in rural Donegal. He spends his days isolated, seeking to make sense of the bruises left by his past by recording an audio tape for a person that he no longer knows. Only when the tape is finished, and the house is cleared, can he finally move on.",0.2123,/wQdPqGytXLeZSCJWYInSJ72ZvRB.jpg,2023-07-13,The Fires,False,10.0,1
False,/9rb01QatSZhshauDqO7t4VEzPkE.jpg,"[80, 35, 53]",1530783,en,Forbidden Fruit,"After a failed heist, thieves Van Buren and Roosevelt journey through a rustbelt town's criminal underbelly in an attempt to save their lives and their relationship.",0.0261,/v2a1s29BEtnnxCQtvEusL8FW9Dt.jpg,2023-05-05,Forbidden Fruit,False,10.0,1
False,,"[18, 9648]",1528528,es,Erbestean,,0.0286,/8zRirP2DNwDw888roDnC7tl9Xyh.jpg,2023-01-05,Erbestean,False,10.0,1
False,,[],1528201,pt,SL Benfica vs Sporting CP 22-23,,0.0071,,2023-05-21,SL Benfica vs Sporting CP 22-23,False,10.0,1
False,,[],1528200,pt,SL Benfica vs Sporting CP 23-24,,0.0143,,2023-11-12,SL Benfica vs Sporting CP 23-24,False,10.0,1
False,,[],1528199,pt,SL Benfica vs FC Porto,,0.0,,2023-09-29,SL Benfica vs FC Porto,False,10.0,1
False,,[],1528198,pt,SL Benfica vs Estrela Amadora,,0.0071,,2023-08-19,SL Benfica vs Estrela Amadora,False,10.0,1
False,/n9VS2t8vtjVpqELEv4vN69T72PA.jpg,[99],1526257,en,Our Honeymoon,"A documentary of a honeymoon to the Pacific Northwest, including plane flights, stops in Portland, Oregon and Coeur D’Alene, Idaho.",0.0071,/26v4YL6fYahtzBKrwpxkKRSh4SV.jpg,2023-08-13,Our Honeymoon,False,10.0,1
False,/55Ua4GNsc9lu3LphIgU4pKdIbp5.jpg,"[99, 36]",1521184,en,Artsakh: part 7,Artsakh: Part 2:  It is analyzed by experts-historians and is based on indisputable historical facts.,0.0071,/8AoURdvkYQGBGoTb3LOVQEvSvhi.jpg,2023-07-28,Artsakh: part 7,False,10.0,1
False,/xCfEz6fvvIxUlhXz4XaDfpsVCsS.jpg,"[28, 80, 53, 18]",1518784,en,Witnessed,"When a son, Daniel Ortiz witnesses his father's brutal murder, he wrestles within himself if he should ignore his values and teachings or become a coldblooded murderer seeking revenge. One step behind him, on the case is Marcus Tillman, a detective with questionable morals and connections that run deep in the dark side of the city.",1.2524,/lyoKDMr6xegehJCih3FehvSrFBu.jpg,2023-05-06,Witnessed,False,10.0,1
False,,[],1517746,en,A New Voice,A New Voice is a firsthand look into the upward journey of citizens returning to communities after incarceration. The film sheds some light on the rarely seen success stories of people who have transitioned home from prison and their impact on their communities.,0.0,/8wZYx9DcdwLmIn9gaoR4CZJAGxu.jpg,2023-01-01,A New Voice,False,10.0,1
False,/fKXw59iJyRp2jtKkoraNzLWTIC2.jpg,"[35, 80]",1515906,en,Clash For Cash,"After the price of their streaming service increases, an eccentric group of thieves take it upon themselves to rob one of the least secure banks in the city.",0.0071,/k0hyWoiqNvBcnaS8eyMfdmBgZTd.jpg,2023-07-28,Clash For Cash,False,10.0,1
False,,[18],1514178,en,Down A Cent,"A homeless woman goes into a local cafe, only to be followed a unknown man walks into the cafe with a more sinister intention in mind",0.0387,/bYXKM5MvAoVKFtYbSNsJ1fOqY4B.jpg,2023-07-04,Down A Cent,False,10.0,1
False,/m0PUGf0ibwEdoKNBtBwWHMNXBH.jpg,"[99, 36]",1514139,hy,Artsakh: part 6,The 6th part of the Artsakh film series tells the story of the history of Artsakh from 1921 to 1960. It is analyzed by experts-historians and is based on indisputable historical facts.,0.0,/rd6lTTmGM2bsjo0Otiav91EsOt3.jpg,2023-04-21,Artsakh: part 6,False,10.0,1
